AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-8-13,33,30,27,25,24,23,84,72,51,1013,1011,1009,31,14,10,40,31,58,0.00,1,,81
2015-8-14,33,30,27,25,24,23,84,71,53,1014,1012,1009,31,14,10,79,29,60,0.00,1,,79
2015-8-15,33,30,27,25,24,22,84,71,52,1013,1012,1009,31,15,10,35,27,,0.00,1,,81
2015-8-16,32,30,27,25,24,24,84,73,58,1014,1012,1009,31,14,2,39,27,55,0.00,2,,85
2015-8-17,33,30,27,24,24,23,79,71,50,1014,1012,1010,26,13,10,37,31,52,0.00,2,,83
2015-8-18,32,29,27,24,23,22,84,67,48,1014,1012,1010,31,11,10,39,26,55,0.00,2,,83
2015-8-19,33,30,27,29,24,22,100,70,52,1014,1012,1010,31,14,10,39,29,,0.00,2,,86
2015-8-20,33,30,27,26,24,23,84,72,54,1013,1011,1009,31,14,10,35,26,47,0.00,2,,81
2015-8-21,33,30,27,25,24,24,89,74,51,1012,1010,1008,26,14,10,39,27,53,0.25,2,,80
2015-8-22,33,30,27,25,24,24,84,73,51,1012,1010,1008,26,14,10,39,32,53,0.00,2,,82
2015-8-23,33,29,26,24,23,22,79,66,47,1012,1010,1009,31,14,10,29,24,47,0.00,2,,78
2015-8-24,33,30,27,26,24,23,79,69,53,1011,1009,1007,10,10,10,39,24,52,0.00,1,,75
2015-8-25,33,31,28,26,25,25,84,74,54,1011,1009,1007,10,10,10,37,31,55,0.00,2,,80
2015-8-26,33,30,27,26,24,23,84,73,50,1013,1011,1009,31,14,10,34,23,48,0.00,1,,78
2015-8-27,34,30,27,26,25,23,94,75,49,1012,1010,1008,31,15,10,24,16,,0.25,2,Rain,70
2015-8-28,35,31,27,26,25,23,89,71,47,1011,1009,1007,31,15,10,47,24,66,0.00,1,,82
2015-8-29,33,31,28,25,25,24,79,71,54,1013,1010,1008,26,13,10,42,35,60,0.00,1,,86
2015-8-30,34,31,27,26,25,23,84,72,51,1013,1011,1009,26,11,10,42,29,,0.00,1,,85
2015-8-31,34,31,28,25,25,24,84,73,56,1014,1012,1009,10,10,10,45,32,53,0.00,2,,84
2015-9-1,34,31,28,26,25,24,84,74,51,1014,1012,1009,10,10,8,37,29,,0.00,2,Rain,79
2015-9-2,33,31,28,26,25,24,84,76,49,1015,1012,1009,10,10,10,37,26,47,0.00,2,,89
2015-9-3,34,31,28,25,24,23,84,71,41,1012,1011,1008,31,13,10,42,32,60,0.00,1,,87
2015-9-4,33,30,27,25,24,23,84,70,54,1013,1011,1009,26,14,10,39,31,52,0.00,2,,84
2015-9-5,34,31,27,24,24,23,79,68,51,1013,1011,1008,26,14,10,39,29,52,0.00,2,,80
2015-9-6,33,31,28,25,24,23,79,71,50,1012,1011,1008,26,12,10,40,31,58,0.00,1,,80
2015-9-7,33,31,28,26,25,24,79,71,54,1013,1011,1008,10,10,10,40,32,60,0.00,2,,80
2015-9-8,33,30,27,25,25,24,89,72,51,1012,1011,1009,26,13,8,37,29,55,0.51,2,Rain,72
2015-9-9,34,31,27,26,24,24,84,70,51,1011,1009,1007,31,15,10,42,29,58,0.00,2,,80
2015-9-10,33,30,28,27,24,23,84,72,54,1012,1010,1008,31,13,3,39,29,,1.02,2,Rain-Thunderstorm,78
2015-9-11,34,31,28,26,25,24,84,72,50,1013,1011,1009,31,15,10,32,27,,0.00,2,,74
2015-9-12,34,31,28,26,25,22,84,74,42,1013,1011,1008,31,15,10,37,24,52,0.00,1,,81
2015-9-13,34,31,28,25,24,24,79,69,51,1012,1010,1008,31,15,10,45,32,61,0.00,1,,87
2015-9-14,33,31,28,25,24,24,79,69,57,1013,1011,1008,31,15,10,42,32,53,0.00,2,,79
2015-9-15,34,31,28,25,25,24,84,71,51,1013,1011,1008,31,11,10,34,26,45,0.00,2,,70
2015-9-16,34,31,28,26,25,24,79,70,49,1012,1010,1007,31,13,10,42,32,61,0.00,2,,86
2015-9-17,34,31,28,25,24,24,79,69,50,1011,1009,1006,31,13,10,39,34,52,0.00,2,,85
2015-9-18,33,30,27,26,24,24,84,72,55,1010,1008,1005,31,14,10,39,29,55,0.00,2,,78
2015-9-19,33,31,28,26,26,25,84,74,58,1011,1009,1007,31,14,10,34,27,,0.00,3,,79
2015-9-20,33,30,28,26,25,24,84,75,57,1011,1009,1006,31,14,10,37,26,53,0.00,1,,74
2015-9-21,34,31,28,26,26,24,89,75,53,1011,1008,1005,31,12,10,37,29,53,0.00,2,,78
2015-9-22,34,31,28,26,26,25,84,73,53,1009,1008,1005,26,14,10,40,34,58,0.00,1,,78
2015-9-23,34,31,28,26,26,25,84,75,53,1010,1008,1005,26,14,10,37,29,55,0.00,1,,80
2015-9-24,34,31,28,26,25,23,84,70,45,1010,1008,1006,31,15,10,42,31,61,0.00,1,,81
2015-9-25,34,31,28,26,24,23,79,70,52,1011,1009,1005,31,14,10,40,31,53,0.00,1,,81
2015-9-26,34,31,28,26,25,24,84,72,51,1011,1009,1006,26,13,10,39,29,60,0.00,1,,80
2015-9-27,35,32,28,26,26,25,84,73,49,1011,1009,1007,19,12,10,40,31,50,0.00,1,,81
2015-9-28,34,31,28,26,25,25,84,73,52,1011,1008,1006,19,12,10,37,29,,0.00,1,,77
2015-9-29,33,31,28,25,24,24,84,72,50,1009,1008,1005,19,12,10,35,27,,0.00,1,,81
2015-9-30,34,31,27,25,24,23,79,70,50,1009,1007,1004,31,13,10,32,24,,0.00,1,,74
2015-10-1,34,30,26,26,25,24,84,77,63,1009,1007,1004,31,14,10,19,11,,0.00,1,,86
2015-10-2,32,28,24,26,24,22,89,76,61,1010,1008,1006,31,14,10,23,8,47,0.25,2,Rain-Thunderstorm,150
2015-10-3,34,30,26,26,25,22,89,75,49,1010,1008,1006,26,12,10,24,16,,0.00,1,,83
2015-10-4,35,31,28,27,26,24,84,68,46,1011,1009,1006,19,13,10,37,29,55,0.00,1,,74
2015-10-5,34,31,28,26,26,25,84,72,54,1012,1010,1008,19,12,10,40,29,53,0.00,1,,87
2015-10-6,34,31,28,26,24,24,79,70,51,1012,1010,1008,26,13,10,42,32,64,0.00,2,,89
2015-10-7,34,31,28,25,24,24,79,69,52,1012,1010,1007,31,15,10,39,31,55,0.00,1,,81
2015-10-8,34,31,28,26,24,24,84,70,48,1012,1010,1007,31,12,10,35,29,52,0.00,1,,79
2015-10-9,34,31,28,25,24,24,79,69,52,1012,1010,1007,31,13,10,39,31,58,0.00,2,,80
2015-10-10,33,31,28,25,24,24,79,70,54,1012,1010,1008,26,11,10,40,31,60,0.00,1,,83
2015-10-11,34,31,28,26,25,24,84,72,47,1011,1009,1007,26,12,10,35,29,50,0.00,1,,83
2015-10-12,33,31,28,25,24,24,84,70,52,1012,1010,1008,31,14,10,40,27,63,0.00,1,,86
2015-10-13,33,31,28,24,23,22,79,66,48,1013,1011,1009,26,15,10,37,29,,0.00,1,,84
2015-10-14,33,30,27,25,24,24,84,72,50,1012,1010,1008,26,14,10,40,26,58,0.00,2,,81
2015-10-15,32,30,27,25,24,23,84,71,52,1012,1010,1008,31,13,10,34,27,50,0.00,2,,90
2015-10-16,33,30,27,25,24,23,79,69,51,1011,1009,1007,31,14,10,39,29,52,0.00,1,,87
2015-10-17,34,31,28,26,24,24,84,70,50,1012,1010,1007,31,15,10,40,29,55,0.00,1,,87
2015-10-18,34,31,27,26,25,24,84,72,51,1013,1011,1008,31,15,10,34,24,,0.00,1,,78
2015-10-19,34,31,27,26,25,24,84,74,51,1012,1011,1008,31,14,2,161,24,,0.00,1,,79
2015-10-20,33,31,28,26,25,24,89,71,53,1012,1010,1007,31,14,10,39,29,58,0.00,1,,79
2015-10-21,34,31,28,25,24,23,79,71,53,1012,1010,1007,26,11,10,42,32,53,0.00,1,,83
2015-10-22,33,31,28,25,24,24,84,73,53,1012,1010,1007,10,10,10,34,26,,0.00,1,,79
2015-10-23,33,30,28,26,25,24,84,73,52,1011,1009,1006,10,10,10,27,19,,0.00,2,,77
2015-10-24,33,29,26,25,24,22,84,71,51,1011,1009,1007,10,10,10,27,19,,0.00,2,,84
2015-10-25,33,30,27,26,26,24,94,81,59,1012,1010,1008,26,12,10,26,16,47,0.00,3,Rain-Thunderstorm,86
2015-10-26,30,29,28,26,24,22,89,77,52,1013,1010,1008,26,12,10,34,19,,0.00,3,,106
2015-10-27,32,30,28,25,24,22,84,73,56,1014,1012,1010,31,12,10,39,23,,0.00,1,,94
2015-10-28,33,30,27,25,24,23,84,73,55,1014,1012,1010,31,12,10,32,24,,0.00,1,,77
2015-10-29,33,30,27,25,24,21,84,70,43,1013,1011,1010,10,10,10,27,21,,0.00,1,,75
2015-10-30,32,29,26,28,24,23,89,75,51,1013,1011,1008,10,10,10,24,16,,0.00,1,,82
2015-10-31,33,29,26,25,24,23,89,74,53,1013,1011,1009,10,10,10,23,14,,0.00,1,,77
2015-11-1,33,30,27,25,24,23,79,70,51,1012,1010,1008,10,10,10,27,19,,0.51,2,Rain,77
2015-11-2,32,30,27,25,24,23,84,73,51,1012,1010,1007,10,10,10,26,18,,0.51,2,Rain,78
2015-11-3,32,29,27,25,24,24,84,76,62,1012,1010,1008,19,10,10,27,21,,0.00,2,,84
2015-11-4,33,30,28,25,24,23,84,72,56,1012,1010,1008,10,10,10,35,24,,0.00,3,,87
2015-11-5,32,30,27,24,24,23,79,70,52,1013,1011,1009,10,10,10,27,24,,0.00,2,,74
2015-11-6,33,29,26,24,23,22,84,69,48,1014,1011,1010,10,10,10,32,23,40,0.00,2,,76
2015-11-7,32,29,26,25,24,22,89,73,57,1012,1010,1007,10,10,8,39,23,58,0.25,2,,89
2015-11-8,33,30,28,25,24,23,84,71,53,1013,1010,1008,31,13,10,40,32,58,0.00,2,,87
2015-11-9,33,30,28,28,26,24,100,77,59,1013,1011,1009,31,14,10,40,31,55,0.00,2,,85
2015-11-10,32,30,27,26,24,23,84,72,54,1013,1011,1009,26,13,10,40,32,64,0.51,2,Rain,83
2015-11-11,33,30,28,25,24,23,79,72,55,1012,1010,1008,26,14,10,40,32,50,0.00,2,Rain,84
2015-11-12,32,30,28,25,24,23,79,70,54,1012,1010,1008,26,14,10,40,31,,0.00,2,,84
2015-11-13,32,29,26,25,23,22,84,70,47,1011,1009,1007,26,14,10,37,29,55,0.51,2,Rain,80
2015-11-14,32,30,28,24,23,22,79,67,49,1011,1010,1008,26,14,10,47,35,69,0.00,2,,84
2015-11-15,32,30,28,24,24,23,79,71,54,1012,1011,1008,26,14,10,47,37,63,0.00,2,,82
2015-11-16,32,29,27,25,23,23,79,71,56,1011,1009,1007,26,14,10,42,35,61,0.00,2,,81
2015-11-17,32,30,27,24,23,23,79,70,51,1010,1008,1007,26,13,10,42,34,61,0.00,2,,87
2015-11-18,31,28,25,25,24,23,94,77,63,1012,1010,1008,26,12,3,39,26,,27.94,3,Rain-Thunderstorm,77
2015-11-19,29,27,26,25,23,22,89,81,67,1013,1011,1009,31,13,10,27,18,,0.25,3,Rain,81
2015-11-20,31,27,23,24,23,22,91,74,50,1012,1010,1008,31,12,10,26,13,,0.00,1,,74
2015-11-21,31,28,26,24,23,23,83,72,54,1011,1009,1007,10,10,10,34,21,,0.00,1,,78
2015-11-22,31,28,25,24,24,23,89,74,61,1012,1010,1008,10,10,10,39,29,48,0.25,2,,78
2015-11-23,32,30,28,25,24,24,84,74,62,1012,1010,1007,10,10,10,34,27,,0.00,2,,82
2015-11-24,32,29,27,24,24,23,84,73,53,1012,1010,1008,10,10,10,29,24,,0.00,2,,81
2015-11-25,32,30,27,25,24,23,84,72,54,1013,1010,1009,31,14,10,34,26,,1.02,2,,76
2015-11-26,32,29,27,25,24,23,89,74,57,1013,1011,1009,31,15,10,35,26,50,0.00,2,Rain,82
2015-11-27,31,29,27,25,24,23,84,72,57,1011,1009,1007,31,14,10,148,32,53,0.00,2,,95
2015-11-28,31,29,27,25,24,22,84,75,64,1011,1008,1007,26,14,10,39,26,58,0.00,2,,86
2015-11-29,30,28,27,26,24,24,89,80,72,1011,1009,1006,26,13,10,32,19,53,0.00,2,,71
2015-11-30,32,30,27,25,24,24,84,74,57,1009,1007,1004,26,14,10,42,31,61,0.00,2,,93
2015-12-1,32,30,28,26,25,24,84,75,59,1010,1008,1007,26,14,10,40,34,58,0.00,1,,81
2015-12-2,32,30,28,25,24,24,84,75,57,1013,1010,1009,26,13,10,47,34,66,0.00,2,,87
2015-12-3,31,29,27,25,24,23,89,75,54,1014,1012,1011,26,13,10,40,31,61,0.25,2,Rain,86
2015-12-4,32,29,27,25,24,24,84,76,59,1015,1013,1011,26,14,10,40,29,58,0.00,2,,81
2015-12-5,32,29,27,25,24,23,84,74,57,1015,1013,1012,26,14,10,39,27,,0.00,2,,86
2015-12-6,32,29,27,24,23,22,84,68,53,1014,1012,1010,26,14,10,40,31,60,0.00,1,Rain,85
2015-12-7,31,28,26,24,23,22,79,70,54,1013,1011,1008,31,15,10,37,29,53,0.00,2,,83
2015-12-8,32,29,26,24,23,23,84,73,55,1012,1010,1008,31,15,10,40,27,60,0.00,1,,89
2015-12-9,32,29,27,24,24,23,84,74,59,1013,1011,1009,31,14,10,42,32,61,0.00,1,,91
2015-12-10,32,29,27,25,24,23,84,74,54,1013,1010,1008,26,14,10,42,32,60,0.00,1,,90
2015-12-11,31,29,27,24,24,23,84,74,58,1013,1011,1009,26,14,10,40,32,60,0.00,2,,85
2015-12-12,31,29,27,24,23,23,84,72,56,1013,1010,1008,26,12,10,45,35,58,0.00,1,,84
2015-12-13,32,29,27,24,23,23,84,72,47,1012,1010,1007,18,11,2,150,39,69,0.00,1,,86
2015-12-14,31,29,27,24,23,23,84,75,60,1012,1010,1007,26,13,10,39,32,50,0.00,1,,87
2015-12-15,31,29,27,24,24,24,84,75,64,1011,1009,1006,26,14,10,40,31,55,0.00,2,,89
2015-12-16,32,30,27,25,24,24,84,76,61,1011,1009,1007,26,14,10,45,32,64,0.00,2,,84
2015-12-17,31,29,27,25,24,23,84,74,62,1010,1009,1007,26,13,10,48,34,71,0.00,2,,90
2015-12-18,31,29,27,24,24,23,79,73,59,1013,1010,1009,18,12,10,47,37,69,0.00,3,,85
2015-12-19,32,29,27,24,23,22,79,69,50,1014,1013,1011,19,12,10,39,32,60,0.00,1,,86
2015-12-20,32,29,27,24,23,22,84,72,58,1015,1013,1011,19,12,10,40,32,61,0.00,3,,85
2015-12-21,31,29,27,24,23,23,84,74,60,1015,1013,1011,26,12,10,48,39,82,0.76,2,Rain,82
2015-12-22,31,28,24,25,23,22,86,73,59,1014,1012,1009,26,13,5,50,35,71,0.51,2,Rain,81
2015-12-23,31,29,26,24,22,2,79,70,20,1014,1012,1010,26,14,10,47,37,63,0.00,2,,86
2015-12-24,31,29,27,23,23,22,79,70,54,1015,1013,1012,31,15,10,47,37,71,0.00,2,,78
2015-12-25,31,28,26,24,23,22,89,75,62,1015,1013,1012,31,15,10,47,40,63,1.02,3,Rain,79
2015-12-26,31,28,25,23,23,22,84,74,54,1014,1013,1011,31,15,10,42,34,61,0.51,2,Rain,79
2015-12-27,29,27,25,24,22,22,89,74,60,1013,1011,1009,31,14,8,48,34,72,0.51,2,Rain,82
2015-12-28,31,28,26,23,23,22,83,74,57,1013,1011,1009,31,15,10,48,35,63,0.00,2,,85
2015-12-29,31,29,27,24,23,23,84,73,54,1016,1014,1012,31,13,10,47,39,66,0.00,1,,84
2015-12-30,31,29,26,24,23,22,84,74,55,1017,1015,1013,26,13,10,45,37,64,0.00,2,,80
2015-12-31,30,28,26,23,23,22,83,73,60,1015,1013,1011,26,12,10,48,37,63,0.00,1,,82
